codigo_nacional;codigo_agroclima;ID;estacion;categoria;lat;long;altitud;comuna;region;anio_creacion;Nota
250005;;EXT-128;Taltal;DMC;-25.411111;-70.484166;37; Taltal;Antofagasta;2012;
230004;;EXT-127;Toconao;DMC;-23.18611;-68.005555;2495;San Pedro de Atacama;Antofagasta;1998;
230019;;INIA-58;Toconao;INIA;-23.190555;-68.007222;2478;San Pedro de Atacama;Antofagasta;2010;
220009;;EXT-126;Universidad Católica del Norte;DMC;-22.905833;-68.196944;2450;Antofagasta;Antofagasta;2016;
NA;542;EXT-971;Altar de la Virgen;APECO;-27.99;-69.98;1385;Tierra Amarilla;Atacama;NA;Data Logger  (?)
NA;535;EXT-968;Amalfi;APECO;-27.41;-70.3;421;Copiapó;Atacama;NA;Data Logger  (?)
270013;;INIA-97;Amolana;INIA;-27.959722;-70.01;1090;Tierra Amarilla;Atacama;2012;
NA;;EXT-27;Cachiyuyo;CEAZA;-29.057;-70.905;950;Vallenar;Atacama;2013;
NA;541;EXT-964;Casa Rosada;APECO;-27.84;-70.08;1292;Tierra Amarilla;Atacama;NA;Data Logger  (?)
280021;;INIA-65;CE Huasco;INIA;-28.58111;-70.798333;470;Vallenar;Atacama;2011;
NA;536;EXT-966;Copayapu;APECO;-27.45;-70.26;502;Tierra Amarilla;Atacama;NA;Data Logger  (?)
260009;;INIA-223;Falda Verde;INIA;-26.299721;-70.624166;127;Chañaral;Atacama;2017;
280010;;EXT-130;Freirina Nicolasa;DMC;-28.516943;-71.01;156;Freirina;Atacama;2016;
270021;;INIA-224;La Copa;INIA;-27.345555;-70.621943;188;Copiapó;Atacama;2017;
NA;408;EXT-967;Las Canteras;APECO;-27.74;-70.12;872;Tierra Amarilla;Atacama;NA;Data Logger  (?)
NA;546;EXT-969;María Isabel;APECO;-27.33;-70.78;146;Tierra Amarilla;Atacama;NA;Data Logger  (?)
NA;547;EXT-965;Mayorquina;APECO;-27.33;-70.56;233;Copiapó;Atacama;NA;Fuera de línea
NA;537;EXT-970;Nantoco;APECO;-27.55;-70.26;649;Tierra Amarilla;Atacama;NA;Data Logger  (?)
270009;;EXT-129;Universidad de Atacama;DMC;-27.358888;-70.353333;362;Copiapó;Atacama;2016;
290004;;EXT-100;Aeródromo La Florida;DMC;-29.914444;-71.206666;137;La Serena;Coquimbo;1954;
300056;;INIA-304;Ajial de Quiles;INIA;-30.920277;-71.384166;464;Punitaqui;Coquimbo;2019;
300043;;INIA-64;Algarrobo Bajo;INIA;-30.633054;-71.451388;80;Ovalle;Coquimbo;2011;
NA;;INIA-74;Campo Lindo;INIA;-30.69;-71.32;290;Ovalle;Coquimbo;NA;Data Logger  (?)
NA;;EXT-24;Canela;CEAZA;-31.390888;-71.412983;350;Canela;Coquimbo;2013;
NA;;EXT-62;Cerro Grande;CEAZA;-29.93;-71.22;513;La Serena;Coquimbo;NA;Fuera de línea
NA;;EXT-954;Cerro La Silla;DMC;-29.25;-70.73;2377;La Higuera;Coquimbo;NA;Fuera de línea
300054;;INIA-229;Chaguaral;INIA;-30.857222;-70.730554;1194;Monte Patria;Coquimbo;2016;
NA;;EXT-25;Chillepín;CEAZA;-31.88563;-70.71395;887;Salamanca;Coquimbo;2013;
NA;;EXT-35;Collowara;CEAZA;-30.248749;-71.065259;1281;Andacollo;Coquimbo;2014;
NA;;EXT-29;Combarbalá Sur;CEAZA;-31.200223;-71.000149;1136;Combarbalá;Coquimbo;2013;
300045;;INIA-66;El Palqui;INIA;-30.774443;-70.926943;504;Monte Patria;Coquimbo;2011;
NA;;EXT-11;El Panul;CEAZA;-29.998736;-71.39852;122;Coquimbo;Coquimbo;2004;
NA;;EXT-64;El Polvo;CEAZA;-31.18;-70.58;2561;Monte Patria;Coquimbo;NA;Fuera de línea
NA;;EXT-10;El Romeral;CEAZA;-29.754064;-71.257442;162;La Serena;Coquimbo;2004;
NA;;EXT-32;El Tapado;CEAZA;-30.1583;-69.908179;4306;Vicuña;Coquimbo;2013;
300034;;EXT-131;El Tololo;DMC;-30.168332;-70.803611;2154;Vicuña;Coquimbo;1995;
300024;;EXT-101;Escuela Agrícola;DMC;-30.579999;-71.186666;310;Ovalle;Coquimbo;1978;
NA;;EXT-63;Estero Derecho;CEAZA;-30.38407;-70.412858;3020;Paiguano;Coquimbo;2016;
NA;;EXT-43;Fray Jorge Bosque;IEB;-30.64;-71.68;541;Ovalle;Coquimbo;NA;Fuera de línea
NA;;EXT-42;Fray Jorge Quebrada;IEB;-30.65;-71.66;230;Ovalle;Coquimbo;NA;Fuera de línea
NA;;EXT-14;Gabriela Mistral;CEAZA;-29.97852;-71.080386;198;La Serena;Coquimbo;2004;
NA;;EXT-61;Guandacol;CEAZA;-30.543625;-70.33290088;2983;Río Hurtado;Coquimbo;2016;
NA;;EXT-40;Hualtatas;CEAZA;-31.707322;-70.525002;3632;Salamanca;Coquimbo;2014;
310043;;INIA-220;Huentelauquén;INIA;-31.58861;-71.509722;22;Canela;Coquimbo;2017;
NA;;EXT-19;Huintil;CEAZA;-31.573305;-70.998152;590;Illapel;Coquimbo;2010;
NA;;EXT-5; Illapel;CEAZA;-31.64814;-71.196947;275;Illapel;Coquimbo;2009;
NA;;EXT-26;La Laguna - Elqui;CEAZA;-30.203112;-70.037224;3209;Vicuña;Coquimbo;2013;
300055;;INIA-305;La Polvareda;INIA;-30.882777;-71.239721;265;Punitaqui;Coquimbo;2018;
NA;;EXT-38;Laguna Hurtado;CEAZA;-30.509027;-70.445937;2500;Río Hurtado;Coquimbo;2013;
NA;;EXT-7;Las Cardas;CEAZA;-30.251452;-71.256903;282;Coquimbo;Coquimbo;2012;
NA;;INIA-323;Las Naranjas;INIA;-30.86;-71.4;560;Ovalle;Coquimbo;2022;
NA;;EXT-20;Lavaderos;CEAZA;-30.3093;-70.625646;1462;Río Hurtado;Coquimbo;2013;
310023;;EXT-172;Liceo Padre José Herde;DMC;-31.389999;-71.412777;343;Canela;Coquimbo;1997;
310024;;EXT-173;Liceo Samuel Román Rojas;DMC;-31.188055;-70.998888;936;Combarbalá;Coquimbo;1997;
NA;;INIA-319;Los Acacios;INIA;-30.700483;-71.286422;254;Ovalle;Coquimbo;2021;
NA;;EXT-23;Los Molles - Bocatoma;CEAZA;-30.745997;-70.419232;2543;Monte Patria;Coquimbo;2011;
NA;;EXT-33;Mincha Sur;CEAZA;-31.594247;-71.42159;50;Canela;Coquimbo;2013;
300047;;EXT-103;Monte Patria - Centro Cultural;DMC;-30.698333;-70.957777;406;Monte Patria;Coquimbo;2017;
NA;;EXT-12;Pan de Azúcar;CEAZA;-30.074646;-71.238945;135;Coquimbo;Coquimbo;2004;
300046;;EXT-102;Parque Los Pimientos;DMC;-30.03361;-70.697221;642;Vicuña;Coquimbo;2017;
NA;;EXT-28;Pichasca;CEAZA;-30.41323;-70.90277;670;Río Hurtado;Coquimbo;2013;
NA;;EXT-8;Pisco Elqui;CEAZA;-30.129028;-70.494712;1240;Paiguano;Coquimbo;2004;
NA;;EXT-31;Punta Colorada;CEAZA;-29.3541129;-71.0328595;379;La Higuera;Coquimbo;2013;
NA;;EXT-6;Punta de Choros;CEAZA;-29.24724;-71.467969;7;La Higuera;Coquimbo;2011;
NA;;EXT-16;Quebrada Seca;CEAZA;-30.496129;-71.490506;183;Ovalle;Coquimbo;2012;
320002;;INIA-221;Quilimarí;INIA;-32.116943;-71.490833;15;Los Vilos;Coquimbo;1961;
NA;;EXT-1;Rapel;CEAZA;-30.722798;-70.772488;862;Monte Patria;Coquimbo;2012;
NA;;EXT-2;Rivadavia;CEAZA;-29.96173;-70.539081;900;Vicuña;Coquimbo;2010;
NA;;EXT-18;Talhuén;CEAZA;-30.592033;-71.247966;292;Ovalle;Coquimbo;2013;
NA;;EXT-37;Tascadero;CEAZA;-31.262951;-70.539993;3427;Monte Patria;Coquimbo;2012;
NA;;EXT-194;Tilama;CEAZA;-32.081625;-71.162773;499;Los Vilos;Coquimbo;2013;
NA;;EXT-15;UCN Guayacan;CEAZA;-29.96663;-71.352844;1;Coquimbo;Coquimbo;2011;
NA;;EXT-36;Universidad de La Serena;CEAZA;-29.915015;-71.242214;90;La Serena;Coquimbo;2014;
NA;;EXT-13;Vicuña;CEAZA;-30.038318;-70.696553;634;Vicuña;Coquimbo;2004;
310040;;EXT-174;Vivero CONAF;DMC;-31.632499;-71.151944;333;Illapel;Coquimbo;2018;
330007;;EXT-135;Aeródromo Rodelillo;DMC;-33.065277;-71.556388;330;Viña del Mar;Valparaíso;1965;
330030;;EXT-139;Aeródromo Santo Domingo;DMC;-33.656111;-71.613333;77;Santo Domingo;Valparaíso;1966;
320041;;EXT-175;Aeródromo Torquemada;DMC;-32.949444;-71.47611;141;Concón;Valparaíso;1988;
270001;;EXT-116;Aeropuerto Mataveri;DMC;-27.158888;-109.432499;44;Isla de Pascua;Valparaíso;1937;
320015;;EXT-133;Catapilco;DMC;-32.569999;-71.305555;85;Zapallar;Valparaíso;1924;
320055;;EXT-972;Catemu;DMC;-32.758888;-70.942777;443;Catemu;Valparaíso;2001;
330189;;INIA-213;Colliguay;INIA;-33.16861;-71.155833;580;Quilpué;Valparaíso;2017;
330191;;INIA-167;Cuncumén;INIA;-33.73611;-71.421666;168;San Antonio;Valparaíso;2017;
NA;;INIA-165;El Maqui;INIA;-32.75;-71.24;179;Puchuncaví;Valparaíso;NA;Estación nueva?
320024;;EXT-192;Escuela Agrícola;DMC;-32.784444;-70.687777;716;San Felipe;Valparaíso;1969;
330006;;EXT-134;Jardín Botánico;DMC;-33.044999;-71.501944;50;Viña del Mar;Valparaíso;1959;
330031;;EXT-140;Juan Fernández;DMC;-33.635833;-78.833054;40;Juan Fernández;Valparaíso;2010;
320097;;INIA-51;La Cruz;INIA;-32.843055;-71.212777;153;La Cruz;Valparaíso;2019;
320045;;EXT-104;Las Peñas;DMC;-32.881388;-70.913055;436;Llaillay;Valparaíso;1993;
320049;;EXT-105;Liceo Agrícola Chincolco;DMC;-32.222499;-70.831666;665;Petorca;Valparaíso;1996;
330161;;EXT-167;Lo Zarate;DMC;-33.530554;-71.506111;103;Cartagena;Valparaíso;2018;
320051;;EXT-132;Los Libertadores;DMC;-32.845555;-70.119166;2955;Los Andes;Valparaíso;1998;
320056;;EXT-106;Quintero - Climatológica;DMC;-32.784166;-71.522777;5;Quintero;Valparaíso;2018;
NA;;EXT-195;Rapa Nui;DGA;-27.11;-109.3;0;Isla de Pascua;Valparaíso;NA;Fuera de línea
330121;;EXT-150;Aeródromo Curacaví;DMC;-33.411111;-71.167777;208;Curacaví;RM;2015;
330019;;EXT-136;Aeródromo Eulogio Sánchez;DMC;-33.455277;-70.54861;650;La Reina;RM;1954;
330111;;EXT-142;Cerro San Francisco;DMC;-33.458055;-70.94861;1068;Lo Prado;RM;2012;
NA;;INIA-313;Chacabuco;INIA;-33.24;-70.72;700;Colina;RM;NA;Estación nueva?
